Image,F1,Jaccard,Recall,Precision
1837.png,0.9600938967136149,0.9232505643340858,0.9843561973525873,0.9369988545246277
294.png,0.941425546930134,0.8893333333333333,0.9302649930264993,0.9528571428571428
2157.png,0.8600723763570567,0.7544973544973544,0.854916067146283,0.8652912621359223
2528.png,0.8912783751493428,0.8038793103448276,0.9872948650079407,0.8122822299651568
2527.png,0.8766245997362968,0.7803487592219986,0.7898845892735913,0.984765129073212
2075.png,0.4931641827811307,0.32728461664214487,0.454483541430193,0.539041464728056
2322.png,0.0,0.0,0.0,0.0
3034.png,0.7942053685556029,0.6586572438162545,0.6586572438162545,1.0
1851.png,0.8112,0.6823687752355316,0.7658610271903323,0.8622448979591837
676.png,0.9676413255360623,0.9373111782477341,0.9487767584097859,0.9872712808273667
1818.png,0.8891257995735606,0.800383877159309,0.9675174013921114,0.8224852071005917
2906.png,0.0,0.0,0.0,0.0
1840.png,0.8194444444444445,0.6941176470588235,0.9957805907172996,0.696165191740413
560.png,0.7267080745341614,0.5707317073170731,0.5707317073170731,1.0
1337.png,0.8548094373865699,0.7464342313787639,0.9978813559322034,0.7476190476190476
1384.png,0.8430379746835444,0.7286652078774617,0.9823008849557522,0.738359201773836
2936.png,0.872260015117158,0.7734584450402144,0.7925824175824175,0.9697478991596639
1579.png,0.9584313725490194,0.9201807228915663,0.9729299363057324,0.9443585780525502
678.png,0.9581993569131834,0.9197530864197531,0.9305230288836847,0.9875724937862469
555.png,0.9545454545454546,0.9130434782608695,0.9545454545454546,0.9545454545454546
1885.png,0.6283422459893048,0.4580896686159844,1.0,0.4580896686159844
2471.png,0.43981716607414933,0.2819010416666667,1.0,0.2819010416666667
1769.png,0.9499731038192578,0.9047131147540983,0.9150259067357513,0.9876957494407159
1720.png,0.8682634730538923,0.7671957671957672,0.7923497267759563,0.9602649006622517
2465.png,0.7608158220024723,0.6139650872817956,0.9808764940239044,0.6214033316506815
2255.png,0.23206232062320628,0.13126159554730985,0.13126159554730985,1.0
1960.png,0.0,0.0,0.0,0.0
21.png,0.9558338826631511,0.9154040404040404,0.9863945578231292,0.9271099744245525
26.png,0.8872901678657074,0.7974137931034483,1.0,0.7974137931034483
2405.png,0.9010140028971512,0.819859402460457,0.8567493112947658,0.9501018329938901
335.png,0.9166666666666666,0.8461538461538461,0.8810068649885584,0.9553349875930521
893.png,0.9283422459893049,0.8662674650698603,0.9665924276169265,0.8930041152263375
2606.png,0.6097519824531804,0.43859223300970873,0.5592695759826679,0.6702522255192879
11.png,0.9677835051546393,0.9375780274656679,0.9740596627756161,0.9615877080665813
2980.png,0.910944935418083,0.83645443196005,0.8395989974937343,0.9955423476968797
3011.png,0.5185185185185185,0.35,1.0,0.35
717.png,0.6768885564697082,0.5115884680610514,0.5581251927227875,0.8598574821852731
277.png,0.9812147777082029,0.9631223110018439,0.9880201765447667,0.974502487562189
2979.png,0.9246164109406271,0.8598014888337469,0.8598014888337469,1.0
2275.png,0.7867298578199053,0.6484375,0.7354430379746836,0.8457059679767104
1866.png,0.5142241379310345,0.3460980562808239,0.3460980562808239,1.0
1344.png,0.9217391304347825,0.8548387096774194,0.8603896103896104,0.9925093632958801
2137.png,0.628372497824195,0.4581218274111675,0.6186803770351328,0.6383731211317418
2072.png,0.9474940334128878,0.9002267573696145,0.9826732673267327,0.9147465437788018
1137.png,0.9330889092575619,0.8745704467353952,0.8977072310405644,0.9713740458015268
1906.png,0.7962688149247403,0.6615005283550546,0.9771071800208116,0.6719141323792487
1495.png,0.9555555555555556,0.9148936170212766,0.9589201877934272,0.9522144522144522
694.png,0.8766233766233766,0.7803468208092486,0.9225512528473804,0.8350515463917526
336.png,0.9624542124542125,0.9276257722859664,0.933392539964476,0.9933837429111532
1560.png,0.9529025191675794,0.9100418410041841,0.9775280898876404,0.9294871794871795
1546.png,0.9463464486458866,0.8981571290009699,0.9585921325051759,0.934409687184662
1969.png,0.6993006993006993,0.5376344086021505,0.819672131147541,0.6097560975609756
2459.png,0.8921805029280055,0.8053482587064676,0.8319948602634115,0.9617526921648719
587.png,0.9682875264270613,0.9385245901639344,0.9554937413073713,0.9814285714285714
2662.png,0.8694214876033058,0.7690058479532164,0.839584996009577,0.9014567266495287
2930.png,0.7713310580204779,0.6277777777777778,0.9149797570850202,0.6666666666666666
943.png,0.9441624365482233,0.8942307692307693,0.9029126213592233,0.9893617021276596
1794.png,0.0,0.0,0.0,0.0
3043.png,0.500492125984252,0.3337709222185756,1.0,0.3337709222185756
2380.png,0.8589909443725744,0.7528344671201814,0.7687162335991767,0.9732899022801303
126.png,0.0,0.0,0.0,0.0
1147.png,0.9015228426395939,0.8207024029574861,0.9758241758241758,0.8377358490566038
1883.png,0.5696649029982364,0.39827373612823674,0.39827373612823674,1.0
2176.png,0.8609550561797753,0.7558569667077681,0.9630793401413983,0.7784126984126984
2304.png,0.7805953693495037,0.6401446654611211,0.6973079448456992,0.8864774624373957
369.png,0.9130434782608695,0.84,0.8475336322869955,0.9895287958115183
2228.png,0.7027027027027027,0.5416666666666666,0.988,0.5452538631346578
2114.png,0.8461538461538463,0.7333333333333333,0.8952524491333835,0.8021607022282242
451.png,0.9440337909186906,0.894,0.894,1.0
1916.png,0.6251972053189092,0.4547540983606557,0.4547540983606557,1.0
2349.png,0.0,0.0,0.0,0.0
2530.png,0.34222445898339204,0.20643594414086217,0.6028368794326241,0.23893183415319746
1419.png,0.9404388714733541,0.8875739644970414,0.9771986970684039,0.9063444108761329
86.png,0.03413940256045519,0.017366136034732273,0.017366136034732273,1.0
2725.png,0.923644251626898,0.8581217251108424,0.949175211769951,0.8994507815800592
1013.png,0.8955223880597015,0.8108108108108109,0.9,0.8910891089108911
777.png,0.8313582497721057,0.7113884555382215,0.7113884555382215,1.0
2995.png,0.6892950391644909,0.5258964143426295,0.8741721854304636,0.5689655172413793
2992.png,0.9307653993026732,0.8704968944099379,0.9504916920990166,0.9118412491867274
1968.png,0.8689282960678489,0.7682344921608726,0.7682344921608726,1.0
1191.png,0.9399830938292477,0.886762360446571,0.9439728353140917,0.936026936026936
2956.png,0.862198795180723,0.7577763070814031,0.7757452574525745,0.9703389830508474
2187.png,0.966270783847981,0.9347426470588235,0.9741379310344828,0.9585296889726673
2248.png,0.0,0.0,0.0,0.0
1452.png,0.9412955465587045,0.8891013384321224,0.9393939393939394,0.9432048681541582
2525.png,0.7111251580278128,0.5517410495340853,0.8052970651395849,0.6366723259762309
1108.png,0.0,0.0,0.0,0.0
2787.png,0.5112219451371571,0.34338358458961477,0.384375,0.7630272952853598
602.png,0.9565584141712358,0.9167340339531124,0.9287469287469288,0.9860869565217392
227.png,0.8202614379084968,0.6952908587257618,0.9261992619926199,0.7360703812316716
1567.png,0.44545454545454544,0.28654970760233917,0.28654970760233917,1.0
1076.png,0.0,0.0,0.0,0.0
2565.png,0.7855077394114647,0.6467787114845939,0.6679201619901649,0.9533443435177539
1075.png,0.0,0.0,0.0,0.0
824.png,0.4068112899463494,0.25534407027818445,0.25534407027818445,1.0
2543.png,0.9112149532710282,0.8369098712446352,0.9948979591836735,0.8405172413793104
460.png,0.9660876757650951,0.9344,0.954248366013072,0.9782244556113903
1751.png,0.9505703422053231,0.9057971014492754,0.9615384615384616,0.9398496240601504
1390.png,0.9320943531093638,0.8728246318607764,0.8775235531628532,0.9939024390243902
754.png,0.5922413793103448,0.42069810165339866,0.42173112338858193,0.9942112879884226
117.png,0.5491143317230274,0.37846836847946724,0.3894175866006852,0.9308462238398544
941.png,0.7911877394636014,0.6545166402535658,0.7035775127768313,0.9037199124726477
